,year,key_skills,count
0,2021,Работа в команде,96443
1,2021,SQL,96430
2,2022,Работа в команде,92398
3,2022,SQL,89817
4,2021,Английский язык,86374
5,2021,Грамотная речь,77197
6,2021,Git,74303
7,2022,Английский язык,70599
8,2022,Git,67725
9,2021,Пользователь ПК,62077
10,2023,SQL,59998
11,2021,JavaScript,58639
12,2021,Linux,57965
13,2022,Linux,57900
14,2020,SQL,56755
15,2022,Пользователь ПК,53023
16,2021,Управление проектами,51194
17,2021,Python,49872
18,2022,Грамотная речь,47852
19,2022,Python,47807
20,2022,JavaScript,45647
21,2020,Git,45501
22,2022,Управление проектами,45074
23,2023,Работа в команде,44255
24,2020,Английский язык,43440
25,2021,Java,42791
26,2020,JavaScript,41336
27,2023,Linux,39552
28,2020,Работа в команде,39116
29,2021,HTML,37993
30,2020,Пользователь ПК,37624
31,2022,PostgreSQL,37260
32,2023,Git,36609
33,2020,Linux,36575
34,2021,PostgreSQL,36151
35,2021,Ведение переговоров,35473
36,2022,Adobe Photoshop,35131
37,2023,Python,34369
38,2022,Java,34047
39,2020,Грамотная речь,33868
40,2021,Adobe Photoshop,33652
41,2021,CSS,32959
42,2021,Грамотность,32910
43,2021,Деловое общение,31642
44,2019,JavaScript,31635
45,2023,Грамотная речь,31315
46,2021,Активные продажи,30766
47,2020,Java,30721
48,2021,MS SQL,30586
49,2022,Техническое обслуживание,29312
50,2023,PostgreSQL,29245
51,2018,JavaScript,28103
52,2020,HTML,28083
53,2020,Python,28055
54,2022,MS PowerPoint,27901
55,2020,Управление проектами,27749
56,2023,Пользователь ПК,27471
57,2022,1С программирование,27310
58,2022,HTML,26747
59,2022,Аналитическое мышление,26680
60,2023,Английский язык,26259
61,2022,Грамотность,25884
62,2023,Управление проектами,25856
63,2022,PHP,25683
64,2019,SQL,25629
65,2020,CSS,25494
66,2019,Git,25126
67,2023,JavaScript,24618
68,2023,Adobe Photoshop,23701
69,2023,Аналитическое мышление,23432
70,2020,Активные продажи,23285
71,2020,MS SQL,23197
72,2020,MySQL,22494
73,2019,HTML,22114
74,2020,PostgreSQL,21944
75,2023,1С программирование,21407
76,2020,Ведение переговоров,21108
77,2020,PHP,20947
78,2023,Работа с большим объемом информации,20614
79,2018,HTML,20174
80,2017,JavaScript,20170
81,2019,Работа в команде,20011
82,2023,Java,19936
83,2019,Английский язык,19672
84,2019,CSS,19579
85,2018,Git,19460
86,2019,Пользователь ПК,18710
87,2019,Linux,18152
88,2019,Ведение переговоров,18092
89,2019,Управление проектами,17962
90,2023,Деловое общение,17955
91,2023,Техническая поддержка,17893
92,2020,ООП,17804
93,2018,CSS,17615
94,2023,PHP,17554
95,2019,PHP,17461
96,2023,Docker,17219
97,2018,PHP,17147
98,2019,Java,17120
99,2019,MySQL,16144
100,2018,SQL,16130
101,2019,Грамотная речь,15902
102,2018,MySQL,15693
103,2018,Ведение переговоров,15266
104,2019,Python,14710
105,2017,HTML,14485
106,2018,Управление проектами,13631
107,2016,JavaScript,13481
108,2018,Работа в команде,13214
109,2018,Java,12965
110,2017,PHP,12682
111,2017,CSS,12672
112,2017,Git,12584
113,2019,Активные продажи,12489
114,2018,Linux,12440
115,2018,Пользователь ПК,11593
116,2019,ООП,11553
117,2018,HTML5,11423
118,2018,jQuery,11319
119,2019,Деловая переписка,11237
120,2017,MySQL,11175
121,2019,B2B Продажи,11158
122,2018,Английский язык,10910
123,2018,Активные продажи,10246
124,2017,Ведение переговоров,10196
125,2017,SQL,9936
126,2018,Грамотная речь,9865
127,2018,ООП,9799
128,2016,HTML,9790
129,2017,jQuery,9708
130,2018,Деловая переписка,9634
131,2016,PHP,8995
132,2017,HTML5,8939
133,2017,Управление проектами,8723
134,2016,Git,8450
135,2017,Java,8414
136,2016,Ведение переговоров,8407
137,2017,Работа в команде,8173
138,2016,CSS,8136
139,2017,Linux,7952
140,2017,ООП,7917
141,2016,jQuery,7684
142,2016,MySQL,7591
143,2017,Пользователь ПК,7210
144,2016,Работа в команде,7109
145,2017,Английский язык,6897
146,2017,Активные продажи,6871
147,2016,HTML5,6756
148,2016,Пользователь ПК,6727
149,2015,JavaScript,6702
150,2017,CSS3,6583
151,2016,SQL,6567
152,2017,B2B Продажи,6432
153,2016,Java,6431
154,2016,Управление проектами,6358
155,2016,ООП,6024
156,2016,Грамотная речь,5500
157,2016,CSS3,5356
158,2016,Поиск и привлечение клиентов,5286
159,2015,ООП,5146
160,2016,Навыки продаж,5123
161,2015,jQuery,5121
162,2016,Активные продажи,5051
163,2015,HTML5,5003
164,2015,HTML,3791
165,2015,C#,3439
166,2015,MVC,3147
167,2015,.NET Framework,3116
168,2015,CSS,3015
169,2015,ASP.NET,2998
170,2015,PHP,2765
171,2015,Git,2528
172,2015,Ведение переговоров,2434
173,2015,MySQL,2430
174,2015,Java,2312
175,2015,SQL,2148
176,2015,Управление проектами,1977
177,2015,Поиск и привлечение клиентов,1868
178,2015,CSS3,1807
179,2015,Английский язык,1732
