,year,key_skills,count
0,2021,JavaScript,4525
1,2022,JavaScript,3925
2,2020,JavaScript,3013
3,2021,Git,2691
4,2022,Git,2644
5,2023,JavaScript,2335
6,2021,PHP,2083
7,2022,PHP,2075
8,2019,JavaScript,1930
9,2021,Node.js,1777
10,2020,Git,1731
11,2021,MySQL,1711
12,2021,CSS,1695
13,2022,MySQL,1637
14,2023,PHP,1568
15,2023,Git,1550
16,2021,HTML,1535
17,2022,Node.js,1451
18,2020,MySQL,1444
19,2020,PHP,1401
20,2021,PostgreSQL,1336
21,2021,SQL,1327
22,2022,SQL,1321
23,2018,JavaScript,1306
24,2021,React,1305
25,2022,HTML,1243
26,2022,CSS,1224
27,2022,PostgreSQL,1213
28,2020,CSS,1212
29,2022,React,1157
30,2023,MySQL,1138
31,2021,C#,1114
32,2020,HTML,1110
33,2023,PostgreSQL,1082
34,2020,PostgreSQL,1074
35,2022,Английский язык,1034
36,2020,Node.js,1032
37,2023,Node.js,1024
38,2023,SQL,1010
39,2022,TypeScript,997
40,2022,ООП,979
41,2023,HTML,968
42,2021,ООП,949
43,2021,HTML5,946
44,2019,Git,926
45,2022,C#,900
46,2023,React,889
47,2023,CSS,879
48,2021,Python,875
49,2021,Java,868
50,2021,jQuery,860
51,2021,Английский язык,859
52,2019,PHP,856
53,2019,CSS,842
54,2020,SQL,817
55,2020,AngularJS,809
56,2023,TypeScript,787
57,2020,Java,786
58,2019,HTML,779
59,2022,Python,761
60,2020,jQuery,748
61,2019,MySQL,738
62,2020,C#,732
63,2021,MongoDB,729
64,2021,AngularJS,705
65,2020,HTML5,698
66,2021,Linux,691
67,2020,React,661
68,2022,HTML5,652
69,2022,Linux,652
70,2017,JavaScript,641
71,2022,jQuery,629
72,2020,Python,628
73,2018,PHP,623
74,2019,Node.js,617
75,2018,CSS,615
76,2022,Java,613
77,2022,Laravel,606
78,2023,Python,603
79,2018,Git,600
80,2018,HTML,587
81,2023,C#,581
82,2023,Laravel,570
83,2020,ООП,564
84,2023,ООП,561
85,2023,Docker,547
86,2020,CSS3,544
87,2019,C#,530
88,2019,SQL,528
89,2019,jQuery,513
90,2023,Java,510
91,2019,HTML5,510
92,2023,Vue.js,502
93,2020,MongoDB,489
94,2020,ASP.NET,477
95,2019,AngularJS,475
96,2018,Node.js,474
97,2023,Linux,466
98,2018,MySQL,465
99,2018,AngularJS,444
100,2023,MongoDB,442
101,2018,jQuery,428
102,2019,PostgreSQL,426
103,2018,HTML5,417
104,2019,React,412
105,2019,ООП,405
106,2019,Java,402
107,2019,.NET Framework,392
108,2019,ASP.NET,374
109,2018,PostgreSQL,372
110,2019,CSS3,361
111,2018,SQL,358
112,2018,C#,333
113,2019,Python,328
114,2017,PHP,318
115,2016,JavaScript,302
116,2017,CSS,300
117,2018,Java,293
118,2018,CSS3,280
119,2017,MySQL,275
120,2017,Git,271
121,2018,ООП,267
122,2017,HTML5,260
123,2017,HTML,260
124,2017,Node.js,246
125,2018,.NET Framework,244
126,2018,ASP.NET,239
127,2017,AngularJS,234
128,2017,jQuery,231
129,2018,Linux,221
130,2018,Ajax,206
131,2017,PostgreSQL,196
132,2017,CSS3,196
133,2017,SQL,187
134,2016,PHP,160
135,2017,C#,144
136,2017,ООП,142
137,2016,jQuery,123
138,2016,MySQL,122
139,2017,ASP.NET,116
140,2016,Git,115
141,2016,CSS,114
142,2017,Java,113
143,2017,Bootstrap,106
144,2016,HTML5,98
145,2017,Python,97
146,2017,Ajax,96
147,2016,Node.js,93
148,2016,HTML,92
149,2016,AngularJS,76
150,2016,Python,64
151,2016,Linux,63
152,2016,CSS3,63
153,2016,ООП,62
154,2016,Java,60
155,2016,MongoDB,58
156,2016,Bootstrap,50
157,2015,JavaScript,49
158,2016,SQL,42
159,2016,PostgreSQL,41
160,2016,C#,41
161,2015,AngularJS,26
162,2015,Git,26
163,2015,PHP,20
164,2015,HTML5,20
165,2015,MySQL,19
166,2015,jQuery,18
167,2015,CSS3,18
168,2015,HTML,16
169,2015,Node.js,15
170,2015,CSS,13
171,2015,ООП,12
172,2015,Bootstrap,11
173,2015,Python,10
174,2015,Linux,10
175,2015,PHP5,9
176,2015,MVC,8
177,2015,MongoDB,8
178,2015,REST,8
179,2015,Ajax,7
