area_name,salary_in_rub
Новая Ушица,9.34759
Агдаш,55.0
Свердловск,182.11405
Димитров,2681.52
Угледар,2681.52
Курахово,2681.52
Великая Новоселка,2681.52
Родинское,2681.52
Очаков,3876.9
Згуровка,5363.04
Вижница,5627.91
Астраханская область,6000.0
Гиждуван,6143.0775
Дашкесан,6143.0775
Гузар,6143.0775
Доброполье,6509.96
Переяслав-Хмельницкий,7397.676666666666
Копьево,7450.0
Вершиина Тёи,7450.0
Минская область,7623.752237000001
Республика Марий Эл,8000.0
Трускавец,8530.368
Кобеляки,8679.904999999999
Великая Багачка,8679.904999999999
Гребенка,8679.904999999999
Глобино,8679.904999999999
Хорол,8679.904999999999
Козельщина,8679.904999999999
Пятихатки,8726.0
Кантаурово,9250.0
Большое Пикино,9250.0
Неклюдово,9250.0
Останкино,9250.0
Володарск-Волынский,9292.32
Золотоноша,9552.850000000002
Лохвица,9651.5525
Орловская область,10000.0
Республика Северная Осетия-Алания,10000.0
Тульчин,10000.52
Одесская область,10056.17
Нетешин,10353.5
Барбадос,10500.0
Бруней Даруссалам,10500.0
Париж,10500.0
Нижний Куранах,10500.0
Староконстантинов,11074.284
Образцово-Травино,12000.0
Прикаспийский,12000.0
Сасыколи,12000.0
Разночиновка,12000.0
Килинчи,12000.0
Богуслав,12066.4025
Угольные Копи,12500.0
Аршан,12500.0
Ангоя,12500.0
Березань,12531.625
Яготин,13184.713333333333
Ома (Ненецкий АО),13500.0
Несь,13500.0
Усть-Кара,13500.0
Гадяч,13600.8125
Удмуртская Республика,13666.666666666666
Чистенькое,13750.0
Дергачи,14260.702
Поселок Искателей,14555.820833333333
Золочев (Харьковская область),14615.937000000002
Бекабад,14716.55
Каховка,14730.521857142858
Васильков,14985.51140625
Среднецарицынский,15000.0
Себрово,15000.0
Ытык-Кюель,15000.0
Уштобе,15006.395
Олевск,15026.83
Тальное,15095.499999999998
Шпола,15100.02
Акимовка,15135.793214285715
Сокаль,15232.910000000002
Белгородская область,15546.798035714284
Березовка (Гродненская область),15753.44
Новотроицкое,15966.8345
Самбор,16222.08
Калининградская область,16226.695000000002
Люботин,16375.820444444444
Шаргород,16643.5
Волноваха,16678.86
Купянск,16782.111666666668
Зензели,17000.0
Бурабай,17104.389000000003
Алмалык,17131.4625519
Ушарал,17200.733333333334
Лозовая,17340.944941666665
Великий Березный,17452.0
Перечин,17452.0
Тячев,17452.0
Берегово,17452.0
Чоп,17452.0
Свалява,17452.0
Барышево,17549.5
Волгоградская область,17666.666666666668
Аулиеколь,17803.5025
Тайынша,17829.155
Мена,17879.835
Варва,17879.835
Талалаевка,17879.835
Кировоградская область,17884.100000000002
Карасу,18119.383333333335
Саксаульский,18122.6
Черниговка,18211.2
Михайловка (Запорожская область),18211.2
Приморск (Запорожская область),18211.2
Жосалы (Кызылординская область),18431.805
Чунджа,18431.805
Батпак,18431.805
Курская область,18510.0
Рогачев,18747.55712331333
Золотуха (Астраханская область),18750.0
Глубокое,18956.342139466666
Войскорово,19000.0
Итанца,19000.0
Жлобин,19087.50568332214
Новая Одесса,19133.46125
Шардара,19208.25
Арысь (Туркестанская область),19244.083
Урджар,19303.05
Стоянка,19392.975
Могилев-Подольский,19546.43625
Троицкое (Республика Калмыкия),19750.0
Осыпной Бугор,19750.0
Хуст,19807.7
Чеченская республика,20000.0
Мыс Шмидта,20000.0
Станция Озерки (Тальменский район),20000.0
Новая Малыкла,20000.0
Старая Майна,20000.0
Костромская область,20000.0
Республика Дагестан,20000.0
Карабалык,20270.763
Республика Мордовия,20428.571428571428
Южноукраинск,20442.047333333332
Важины,20500.0
Носовая,20500.0
Новодугино,20500.0
Сарканд,20610.24
Чоя,20613.636363636364
Серебрянск,20631.229092514284
Каменец,20800.67457218182
Межгорье (Закарпатская область),20866.235
Воловец,20866.235
Иршава,20866.235
Посевная,21000.0
Кирза,21000.0
Кочки,21000.0
Кагарлык,21056.529000000002
Семеновка (Черниговская область),21135.52
Знаменка,21139.208000000002
Багдарин,21250.0
Яя,21416.346153846152
Преображенская,21423.75
Притеречный,21500.0
Сарыагаш,21543.81523387097
Ржищев,21577.464
Богодухов,21629.44
Чортков,21629.44
Турка,21755.39
Старые Дороги,21819.147620792857
Слуцк,21853.02946379099
посёлок Память Парижской Коммуны,21939.75903614458
Воронежская область,21967.513535294118
Лиман,22000.0
Поныри,22000.0
Умёт,22000.0
Сиазань,22000.0
Рахов,22066.07825
поселок Степана Разина,22111.11111111111
Ставропольский край,22125.0
Новосмолинский,22176.829268292684
Мухтолово,22176.829268292684
Аксукент,22231.712499999998
Атбасар,22317.54621875
Чувашская Республика,22346.153846153848
Джамбай,22380.36
Булунгур,22380.36
Брянская область,22401.044
Жайрем,22442.55425
Пителино,22456.79012345679
