area_name,salary_in_rub
Уральск,26670.15
Фергана,26966.08
Шахты,30000.0
Балаково,32300.0
Новомосковск (Тульская область),35000.0
Рогачев,36661.25
Семей,38200.05
Гянджа,40000.0
Велиж,40000.0
Балабаново,40000.0
Сергиев Посад,40000.0
Полоцк,40935.72
Нововоронеж,45000.0
Бийск,48750.0
Жалагаш,52472.850000000006
Кировоград,53039.2
Костанай,55850.39522222223
Атырау,56080.87499999999
Глубокое (Восточно-Казахстанская область),56133.825
Сергеевка (Северо-Казахстанская область),56133.825
Аксай (Казахстан),56133.825
Курчатов (Казахстан),56133.825
Софиевка (Казахстан),56133.825
Демьянка (Тюменская область),57500.0
Тобольск,57500.0
Московский (Тюменская область),57500.0
Андреевский (Тюменская область),57500.0
Пятигорск,58333.333333333336
Ленинградская станица,60000.0
Новороссийск,62666.25555555556
Усть-Каменогорск,63729.9125
Павловский Посад,65000.0
Железногорск (Красноярский край),65000.0
Ачинск,65000.0
Зеленогорск (Красноярский край),65000.0
Переславль-Залесский,65000.0
Орехово-Зуево,65000.0
Черкассы,66993.56999999999
Хмельницкий,69733.80555555556
Ростов (Ярославская область),70000.0
Ленинск-Кузнецкий,70000.0
Новоалтайск,70000.0
Волгореченск,70000.0
Петергоф,72500.0
Шымкент,74208.61875
Миасс,75000.0
Алупка,75000.0
Красноярский,75000.0
Петропавловск,75146.7
Витебск,75238.12708333333
Запорожье,75808.858
Волжский(Волгоградская область),77083.33333333333
Старый Оскол,77500.0
Черновцы,78105.02625
Боржоми,78424.625
Кобулети,78424.625
Винница,78657.59599999999
Губкинский,80000.0
Киров (Кировская область),81341.46341463414
Брест,82334.4206625
Волжский (Волгоградская область),82857.14285714286
Дубна,83214.28571428571
Николаев,84149.06625
Пенза,86224.14285714286
Жуковский,86666.66666666667
Липецк,87500.0
Караганда,87789.57909090909
Брянск,87804.87804878049
Тольятти,88250.86923076923
Нижний Тагил,88333.33333333333
Новочебоксарск,88750.0
Петрозаводск,91471.15384615384
Набережные Челны,91882.48756578947
Ставрополь,92039.47368421052
Тюмень,94719.76121212122
Ташкент,94865.04270515779
Волгодонск,95000.0
Тула,95267.85714285714
Вологда,96093.75
Барнаул,96931.87534722223
Тамбов,97750.0
Таганрог,98276.88
Курск,99895.83333333333
Челябинск,99983.6844267516
Пушкин,100000.0
Алматы,100307.12262867647
Йошкар-Ола,101014.70588235294
Калуга,101375.0
Астрахань,101447.36842105263
Смоленск,101506.41085714285
Владимир,101539.36636363636
Иркутск,101622.41153846153
Лесной (Минская область),102649.9125
Кемерово,102816.31071428572
Ногинск,103125.0
Ижевск,103212.073828125
Томск,103420.67174157304
Наро-Фоминск,105000.0
Комсомольск-на-Амуре,105000.0
Ялта,106666.66666666667
Кострома,106904.76190476191
Череповец,107500.0
Чита,108571.42857142857
Актобе,108697.8
Электросталь,109230.76923076923
Самарканд,110641.26166666667
Саратов,110908.29999999999
Пермь,111049.53171874999
Чебоксары,111080.64516129032
Павлодар,111567.525
Дания,111655.95
Балашиха,112142.85714285714
Севастополь,112173.1592857143
Орел,112343.75
Селятино,112500.0
Волгоград,112567.09351851851
Белгород,112621.9512195122
Уфа,112649.90387820512
Ярославль,112861.33277777777
Нур-Султан,113255.29226737985
Гродно,113556.6615
Тверь,113701.2080357143
Махачкала,115000.0
Ростов-на-Дону,115142.18177338708
Омск,115530.71344512195
Бухара,115601.28
Мурманск,117163.63636363637
Новокузнецк,117202.375
Рязань,118448.57333333333
Краснодар,118544.9112267658
Магнитогорск,119545.45454545454
Тернополь,120784.595
Зеленоград,121000.0
Красноярск,121008.54294701986
Гомель,121630.61021739131
Владивосток,121749.35789473684
Иннополис,121989.796875
Симферополь,122298.59825
Якутск,123333.33333333333
Хабаровск,124901.31964285715
Испания,125000.0
Курган,125714.28571428571
Иваново (Ивановская область),126025.71847826087
Казань,127291.69207349082
Могилев,128177.52166666667
Сургут,129166.66666666667
Златоуст,130000.0
Житомир,130309.89166666666
Самара,130444.88753846154
Ковель,130766.8
Екатеринбург,132575.24320304568
Мытищи,133214.2857142857
Ульяновск,133521.38161764704
Воронеж,134590.09525
Находка,135000.0
Белогорск,135000.0
Большой Камень,135000.0
Уссурийск,135000.0
Кутаиси,136601.25
Туркменистан,136601.25
Румыния,136601.25
Телави,136601.25
Калининград,136834.9858490566
Краматорск,139034.8
Шимск,140000.0
Астана,140100.5846054054
Днепр (Днепропетровск),140300.88749999998
Новочеркасск,141250.0
Сыктывкар,141250.0
Улан-Удэ,141666.66666666666
Сочи,142481.54153225807
Архангельск,142687.91363636364
Бишкек,143642.29234745764
Великий Новгород,145681.5361111111
Арбузинка,145751.695
Саранск,146715.83599999998
Новосибирск,147274.42521212122
