year,Все вакансии,Full Stack
2003,41302.98241859813,
2004,42967.34025175845,
2005,44939.20745186925,
2006,41317.95446640283,
2007,44449.479986441474,
2008,48411.15484489188,
2009,44812.28021540565,
2010,44657.9181012273,
2011,46448.54430430446,
2012,47462.18598810698,
2013,49086.24181187627,70000.0
2014,48552.07089262858,66013.32500000001
2015,51447.88743870651,166491.14680851065
2016,55292.01797652855,125039.24860146988
2017,59512.778026839485,111973.0097337947
2018,64687.83246932588,115921.67444379376
2019,69034.54717900102,132560.47953636362
2020,71944.61406930699,139289.3124980475
2021,82363.17407939205,164228.66839464277
2022,90633.99563464378,176166.75248811423
2023,97898.65326682095,166597.34990693402
